Destination_Label,2016_Perunit_freight_rate_USkg_Value,2016_Perunit_freight_rate_USkg_Footnote,2016_Perunit_freight_rate_USkg_MissingValue,2017_Perunit_freight_rate_USkg_Value,2017_Perunit_freight_rate_USkg_Footnote,2017_Perunit_freight_rate_USkg_MissingValue,2018_Perunit_freight_rate_USkg_Value,2018_Perunit_freight_rate_USkg_Footnote,2018_Perunit_freight_rate_USkg_MissingValue,2019_Perunit_freight_rate_USkg_Value,2019_Perunit_freight_rate_USkg_Footnote,2019_Perunit_freight_rate_USkg_MissingValue,2020_Perunit_freight_rate_USkg_Value,2020_Perunit_freight_rate_USkg_Footnote,2020_Perunit_freight_rate_USkg_MissingValue,2021_Perunit_freight_rate_USkg_Value,2021_Perunit_freight_rate_USkg_Footnote,2021_Perunit_freight_rate_USkg_MissingValue
"SIDS (Small island developing States) (UN-OHRLLS)",0.082,"Experimental",,0.061,"Experimental",,0.075,"Experimental",,0.067,"Experimental",,0.078,"Experimental",,0.075,"Experimental",
"SIDS: Atlantic and Indian Ocean",0.026,"Experimental",,0.044,"Experimental",,0.038,"Experimental",,0.039,"Experimental",,0.044,"Experimental",,0.054,"Experimental",
"SIDS: Caribbean",0.111,"Experimental",,0.092,"Experimental",,0.114,"Experimental",,0.05,"Experimental",,0.078,"Experimental",,0.128,"Experimental",
"SIDS: Pacific",0.092,"Experimental",,0.06,"Experimental",,0.061,"Experimental",,0.078,"Experimental",,0.084,"Experimental",,0.071,"Experimental",
"Low-income developing economies",0.079,"Experimental",,0.091,"Experimental",,0.084,"Experimental",,0.029,"Experimental",,0.044,"Experimental",,0.079,"Experimental",
"Middle-income developing economies",0.109,"Experimental",,0.083,"Experimental",,0.081,"Experimental",,0.149,"Experimental",,0.117,"Experimental",,0.13,"Experimental",
"High-income developing economies",0.097,"Experimental",,0.062,"Experimental",,0.058,"Experimental",,0.058,"Experimental",,0.055,"Experimental",,0.07,"Experimental",
"BRICS",0.076,"Experimental",,0.051,"Experimental",,0.048,"Experimental",,0.047,"Experimental",,0.043,"Experimental",,0.062,"Experimental",
"European Union (2020 …)",0.117,"Experimental",,0.096,"Experimental",,0.097,"Experimental",,0.099,"Experimental",,0.101,"Experimental",,0.12,"Experimental",
"G20 (Group of Twenty)",0.104,"Experimental",,0.08,"Experimental",,0.077,"Experimental",,0.072,"Experimental",,0.076,"Experimental",,0.098,"Experimental",
"G-77 (Group of 77)",0.089,"Experimental",,0.063,"Experimental",,0.062,"Experimental",,0.076,"Experimental",,0.066,"Experimental",,0.084,"Experimental",
"OECD (Organisation for Economic Cooperation and Development)",0.12,"Experimental",,0.096,"Experimental",,0.095,"Experimental",,0.089,"Experimental",,0.1,"Experimental",,0.123,"Experimental",
