Model,D_MAE_kg,D_RMSE_kg,D_WAPE_pct,D_sMAPE_pct,D_MAPE_pct,D_DirAcc_pct,D_R2,P_MAE_usd,P_RMSE_usd,P_WAPE_pct,P_sMAPE_pct,P_R2
Naive (last value),1307688.625,4003712.5,33.70032846822949,34.82415033797828,36.25774085521698,0.0,0.8135436765269514,30.640331268310547,163.63877868652344,1.3605442020438598,1.369929187249091,0.9998081754351248
Moving Average (3-year),1116472.25,3496050.75,28.772507429103023,29.570011324267625,29.91526424884796,69.22348484848484,0.8578303841294809,61.280662536621094,327.2775573730469,2.7210884040877197,2.758754711983857,0.999232701740499
Linear trend (OLS on 5 steps),1396666.8794557906,4236201.378436035,35.99337864223763,35.61873622061619,39.00211995855662,57.00757575757576,0.7912605500223302,1.7188603209097596e-05,3.220014714205628e-05,7.632376434419203e-07,0.001229006168641813,1.0
Production fallback (MA3 x 1.05),1102317.375,3412745.25,28.407722518649603,28.98017575430573,30.790728330612183,69.63383838383838,0.8645250245188763,61.280662536621094,327.2775573730469,2.7210884040877197,2.7587466130639906,0.999232701740499
XGB residual (median head),1022330.125,3101402.75,26.346378627773824,27.194163599244458,29.945403337478638,72.72727272727273,0.8881160769772862,3.2680654525756836,17.619226455688477,0.1451142112219218,0.1450039819889817,0.9999977761500255
XGB residual + prod guardrails,1022330.1776653251,3101402.768879963,26.346380603248825,27.194163637571105,29.945405467012193,72.72727272727273,0.8881160782229498,3.26806546314008,17.61922674855321,0.14511421040778766,0.1450039820701029,0.9999977761501215
