dataset,path,rows,columns,grain,primary_key,duplicate_key_rows,null_rate_pct,source_tables,join_count,synthetic_formula_count,derived_count,imputed_count,status
01_partner_discovery.parquet,data_pipeline/data/processed/01_partner_discovery.parquet,1408,42,reporter_iso3 × partner_iso3 × hs6 × year,"reporter_iso3, partner_iso3, hs6, year",0,3.87%,comtrade_india_world.csv; worldbank_country_indicators.csv; india_tariffs.csv; iso_3166_countries_unece.csv; UNLOCODE; wto_all_rtas_list_latest.csv; sanctions_entities.csv,6,2,5,0,CANONICAL_EDA_READY
02_trade_anomaly.parquet,data_pipeline/data/processed/02_trade_anomaly.parquet,12288,29,period × reporter_iso3 × partner_iso3 × hs6 × trade_flow,"period, reporter_iso3, partner_iso3, hs6, trade_flow",0,1.44%,comtrade_india_world.csv,0,1,10,0,CANONICAL_EDA_READY
03_document_intelligence.parquet,data_pipeline/data/processed/03_document_intelligence.parquet,91,17,document_id × token_index,"document_id, token_index",0,7.89%,document_annotations.csv,0,0,0,0,CANONICAL_EDA_READY
04_trade_risk.parquet,data_pipeline/data/processed/04_trade_risk.parquet,6144,37,period × reporter_iso3 × partner_iso3 × hs6,"period, reporter_iso3, partner_iso3, hs6",0,3.32%,comtrade_india_world.csv; worldbank_country_indicators.csv; india_tariffs.csv; iso_3166_countries_unece.csv; UNLOCODE; wto_all_rtas_list_latest.csv; sanctions_entities.csv,6,1,4,0,CANONICAL_EDA_READY
05_rag_evidence.parquet,data_pipeline/data/processed/05_rag_evidence.parquet,20,14,evidence_id,evidence_id,0,0.0%,DGFT SCOMET; WTO RTA Agreements; entity_master.csv; sanctions_entities.csv,0,0,0,0,CANONICAL_EDA_READY
