Model,D_MAE_kg,D_RMSE_kg,D_WAPE_pct,D_sMAPE_pct,D_MAPE_pct,D_DirAcc_pct,D_R2,P_MAE_usd,P_RMSE_usd,P_WAPE_pct,P_sMAPE_pct,P_R2,D_emp80_cov_pct,D_emp95_cov_pct
Naive (last value),26932372.873917334,253935734.48381707,25.330014049143877,28.26492395414924,29.454502789613713,1.584507042253521,0.8837872143022889,134.29189796878822,582.4081224608236,3.643246770296997,3.323577564303227,0.9985372349678985,81.96680080482898,95.62374245472837
Moving Average (3-year),25949071.213307187,223938072.7465764,24.405214552478558,28.79667045236827,29.420604604115653,64.58752515090544,0.9096221212624356,90.42919125104365,437.7029708713735,2.453281723983866,3.3756976065102013,0.999173812324426,80.6841046277666,95.74949698189134
Linear trend (OLS on 5 steps),32313142.901026323,277440338.3924098,30.39065170702652,34.24562173757329,37.37530871897007,51.18209255533199,0.8612779550571973,81.14079057206507,347.4540008899659,2.2012938059727727,1.4909795592291146,0.999479387780631,81.03621730382294,95.4979879275654
Production fallback (MA3 x 1.05),26101890.85404615,223072098.55710843,24.548942090524488,28.378605914024025,30.454223565145178,64.66297786720322,0.910319756846542,109.69116538300571,511.92077397808526,2.9758458258191474,3.9425919047384386,0.9988698782558748,80.6841046277666,95.74949698189134
Dual-Head GRU (raw),60563853.71358817,495801306.2451574,56.96056833229004,46.38430225300117,38.75515221477953,59.079476861167,0.556981762973535,183.19441828272872,894.5159444610407,4.969938491003449,75.36684479851219,0.9965493898475911,80.23138832997988,95.09557344064386
Dual-Head GRU + prod guardrails,60563853.71358817,495801306.2451574,56.96056833229004,46.38430225300117,38.75515221477953,59.079476861167,0.556981762973535,182.7118203451621,894.5153993010222,4.956845941088038,11.616816874154159,0.9965493940535175,80.23138832997988,95.09557344064386
