request_id,endpoint,query,status,records_count,raw_path,retrieved_at
REQ_OS_MATCH_b34906f8,/match/sanctions,BHARAT AGRO COMMODITIES EXPORTS LIMITED (IND),SUCCESS,0,,2026-08-20T01:49:33.393625+00:00
REQ_OS_MATCH_8dc833c9,/match/sanctions,HINDUSTAN SPICES & HERBS TRADING PRIVATE LIMITED (IND),SUCCESS,0,,2026-08-20T01:49:33.904545+00:00
REQ_OS_MATCH_2ab93db8,/match/sanctions,GLOBAL TEXTILE MANUFACTURING & APPAREL CORP (USA),SUCCESS,0,,2026-08-20T01:49:34.492981+00:00
REQ_OS_MATCH_34f34ce2,/match/sanctions,DEUTSCHE SPECIALTY CHEMICALS GMBH (DEU),SUCCESS,0,,2026-08-20T01:49:34.991856+00:00
REQ_OS_MATCH_80dea6a9,/match/sanctions,PACIFIC PETROCHEMICAL & LOGISTICS PTE LTD (SGP),SUCCESS,0,,2026-08-20T01:49:35.484292+00:00
REQ_OS_MATCH_9f64690a,/match/sanctions,ROSOBORONEXPORT JSC (RUS),SUCCESS,1,,2026-08-20T01:49:36.016752+00:00
REQ_OS_MATCH_f20121f5,/match/sanctions,OCEAN STAR TITAN (PAN),SUCCESS,0,,2026-08-20T01:49:36.517006+00:00
REQ_OS_SEARCH_788767b0,/search/sanctions,Rosoboronexport,SUCCESS,8,,2026-08-20T01:51:09.268497+00:00
REQ_OS_MATCH_788767b0,/match/sanctions,Rosoboronexport (RUS),SUCCESS,1,,2026-08-20T01:51:19.964991+00:00
